Channel,Event_Name,Site_ID,Sub_Site_ID,Region,Country_Code,Language,Platform,App_Version,SDK_Version,App_ID,Attribution_Lookback,Device_Category
Lime,install,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,install,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,install,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,install,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,install,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,install,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,install,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,install,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,install,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,install,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,gacha_10,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_complete_registration,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_complete_registration,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,daily_quest,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,gacha_10,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_level15_achieved,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_level10_achieved,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,pvp_complete,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,daily_quest,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_level8_achieved,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_complete_registration,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,daily_quest,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_level10_achieved,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,pvp_complete,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,pvp_complete,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,auto_play,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_level10_achieved,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_level8_achieved,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_level8_achieved,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,auto_play,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,gacha_10,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,gacha_10,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_complete_registration,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,auto_play,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,gacha_10,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,gacha_10,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
