범죄,장소,건수
절도,아파트,25389
절도,집,37787
절도,고속도로,151
절도,노상,62560
절도,상점,29977
절도,시장노점,1239
절도,숙박업소,9203
절도,병원,16053
절도,사무실,8416
절도,공장,3540
절도,공사장,4003
절도,창고,2329
절도,역대합실,881
절도,지하철,737
절도,교통,2249
절도,유흥접객업소,631
절도,유원지,1532
절도,학교,3203
절도,금융기관,5888
절도,의료기관,2719
절도,종교기관,2293
절도,산야,2393
절도,해상,50
절도,부대,81
절도,구금장소,4
절도,공지,366
절도,기타,44333
장물,아파트,88
장물,집,130
장물,고속도로,1
장물,노상,483
장물,상점,1188
장물,시장노점,21
장물,숙박업소,11
장물,병원,39
장물,사무실,271
장물,공장,177
장물,공사장,41
장물,창고,57
장물,역대합실,8
장물,지하철,8
장물,교통,13
장물,유흥접객업소,5
장물,유원지,6
장물,학교,15
장물,금융기관,26
장물,의료기관,5
장물,종교기관,1
장물,산야,8
장물,해상,14
장물,부대,0
장물,구금장소,0
장물,공지,15
장물,기타,575
손괴,아파트,3122
손괴,집,3172
손괴,고속도로,32
손괴,노상,22193
손괴,상점,2054
손괴,시장노점,142
손괴,숙박업소,907
손괴,병원,3539
손괴,사무실,1183
손괴,공장,158
손괴,공사장,217
손괴,창고,67
손괴,역대합실,100
손괴,지하철,41
손괴,교통,101
손괴,유흥접객업소,45
손괴,유원지,115
손괴,학교,239
손괴,금융기관,176
손괴,의료기관,194
손괴,종교기관,159
손괴,산야,624
손괴,해상,87
손괴,부대,1
손괴,구금장소,1
손괴,공지,76
손괴,기타,11821
살인,아파트,242
살인,집,312
살인,고속도로,1
살인,노상,280
살인,상점,23
살인,시장노점,5
살인,숙박업소,43
살인,병원,87
살인,사무실,40
살인,공장,15
살인,공사장,4
살인,창고,4
살인,역대합실,8
살인,지하철,1
살인,교통,9
살인,유흥접객업소,1
살인,유원지,13
살인,학교,8
살인,금융기관,0
살인,의료기관,19
살인,종교기관,2
살인,산야,8
살인,해상,2
살인,부대,1
살인,구금장소,0
살인,공지,3
살인,기타,131
강도,아파트,372
강도,집,528
강도,고속도로,1
강도,노상,1541
강도,상점,487
강도,시장노점,5
강도,숙박업소,262
강도,병원,275
강도,사무실,128
강도,공장,16
강도,공사장,8
강도,창고,6
강도,역대합실,13
강도,지하철,4
강도,교통,33
강도,유흥접객업소,2
강도,유원지,55
강도,학교,35
강도,금융기관,23
강도,의료기관,24
강도,종교기관,8
강도,산야,12
강도,해상,1
강도,부대,0
강도,구금장소,1
강도,공지,3
강도,기타,552
방화,아파트,354
방화,집,450
방화,고속도로,0
방화,노상,293
방화,상점,66
방화,시장노점,9
방화,숙박업소,61
방화,병원,86
방화,사무실,77
방화,공장,39
방화,공사장,6
방화,창고,17
방화,역대합실,7
방화,지하철,4
방화,교통,5
방화,유흥접객업소,3
방화,유원지,16
방화,학교,19
방화,금융기관,13
방화,의료기관,25
방화,종교기관,29
방화,산야,8
방화,해상,0
방화,부대,0
방화,구금장소,0
방화,공지,1
방화,기타,298
강간,아파트,2371
강간,집,2927
강간,고속도로,18
강간,노상,3488
