구분,설립유형,학교명,본분교구분,입학금,수업료,기성회비,등록금
대학,사립,가야대학교,본교,0,5606,0,5606
대학,사립,가야대학교,제2캠퍼스,621,6670.5,0,6671
대학,사립,가천대학교,본교,878.3,8250.1,0,8250
대학,사립,가톨릭대학교,본교,880,6901.9,0,6902
대학,사립,가톨릭대학교,제2캠퍼스,880,8111.3,0,8111
대학,사립,가톨릭대학교,제3캠퍼스,880,6122,0,6122
대학,사립,감리교신학대학교,본교,829,5994,0,5994
대학,사립,강남대학교,본교,893,7418.7,0,7419
대학,국립,강릉원주대학교,본교,166.3,768.6,3420.9,4190
대학,국립,강릉원주대학교,제2캠퍼스,166.9,788.2,3690.7,4479
대학,국립,강원대학교,본교,166,771.6,3303.6,4075
대학,국립,강원대학교,제2캠퍼스,166,787.1,3492.9,4280
대학,사립,건국대학교,본교,938,8133.7,0,8134
대학,사립,건국대학교,캠퍼스,938,7761.7,0,7762
대학,사립,건양대학교,본교,630,6399.4,0,6399
대학,사립,건양대학교,제2캠퍼스,630,7221.2,0,7221
대학,사립,경기대학교,본교,720,7353.8,0,7354
대학,사립,경기대학교,제2캠퍼스,720,6871.2,0,6871
대학,국립,경남과학기술대학교,본교,20,106.3,3666.9,3773
대학,사립,경남대학교,본교,562,6384.5,0,6385
대학,사립,경동대학교,본교,780,6812.4,0,6812
대학,사립,경동대학교,제2캠퍼스,780,7210,0,7210
대학,사립,경동대학교,제3캠퍼스,780,8494.4,0,8494
대학,국립,경북대학교,본교,168,787.1,3516.3,4303
대학,사립,경북외국어대학교,본교,620,5760,0,5760
대학,국립,경상대학교,본교,168,776.9,3140.2,3917
대학,사립,경성대학교,본교,500,6459.8,0,6460
대학,사립,경운대학교,본교,700,7518.9,0,7519
대학,사립,경운대학교,본교,0,7378,0,7378
대학,국립,경인교육대학교,본교,175,660,2530.9,3191
대학,국립,경인교육대학교,제2캠퍼스,0,0,0,0
대학,사립,경일대학교,본교,700,7080.1,0,7080
대학,사립,경주대학교,본교,740,6735.1,0,6735
대학,사립,경희대학교,본교,912,7630.7,0,7631
대학,사립,계명대학교,본교,708,7145.7,0,7146
대학,사립,고려대학교,본교,1031.3,8207.7,0,8208
대학,사립,고려대학교 세종캠퍼스,캠퍼스,1028,8078.5,0,8079
대학,사립,고신대학교,본교,557.9,6642.3,0,6642
대학,국립,공주교육대학교,본교,179,682,2742,3424
대학,국립,공주대학교,본교,166,768,3063.8,3832
대학,사립,관동대학교,본교,770,6988.3,0,6988
대학,사립,광신대학교,본교,427,5998.4,0,5998
대학,사립,광운대학교,본교,954,7804.6,0,7805
대학,사립,광주가톨릭대학교,본교,0,0,0,0
대학,국립,광주과학기술원,본교,0,0,2060,2060
대학,국립,광주교육대학교,본교,178,682,2795.5,3478
대학,사립,광주대학교,본교,492,6487.3,0,6487
대학,사립,광주여자대학교,본교,537,6267,0,6267
대학,사립,국민대학교,본교,887,7801.4,0,7801
대학,국립,군산대학교,본교,168,788.9,3140.3,3929
대학,사립,그리스도대학교,본교,686,6537.1,0,6537
대학,사립,극동대학교,본교,812,7671,0,7671
대학,사립,금강대학교,본교,1000,6600,0,6600
